	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
RNF125	0.000000000000000000000000000000000000000000000000000039231122200427	0.985993669975935	0.334	0.196	0.000000000000000000000000000000000000000000000000954924745480593
PSMB6	0.0000000000000000000000000000000000000000000000000000413202787119588	-0.705963310292552	0.323	0.503	0.00000000000000000000000000000000000000000000000100577690412779
PPIB	0.0000000000000000000000000000000000000000000000000000494270444471749	-0.429704033024205	0.706	0.839	0.00000000000000000000000000000000000000000000000120310368888868
LINC02362	0.000000000000000000000000000000000000000000000000000055005605183625	-6.65550455598787	0	0.064	0.00000000000000000000000000000000000000000000000133889143577462
GTF2I	0.0000000000000000000000000000000000000000000000000000631821957306504	-1.04781609635807	0.153	0.311	0.00000000000000000000000000000000000000000000000153791782627976
SUSD3	0.0000000000000000000000000000000000000000000000000000678549416077799	-1.78670039790458	0.04	0.151	0.00000000000000000000000000000000000000000000000165165713367497
GTF2B	0.0000000000000000000000000000000000000000000000000000935997189053221	0.492712702506281	0.584	0.55	0.00000000000000000000000000000000000000000000000227831075787445
GPX4	0.0000000000000000000000000000000000000000000000000000965488363412948	-0.549657989667101	0.515	0.684	0.00000000000000000000000000000000000000000000000235009522538346
GAB3	0.000000000000000000000000000000000000000000000000000123950082741879	1.96302987101735	0.117	0.036	0.00000000000000000000000000000000000000000000000301706896402009
CTTNBP2NL	0.000000000000000000000000000000000000000000000000000130665152717905	-5.97081073925442	0.001	0.066	0.00000000000000000000000000000000000000000000000318052048230654
TRBV19	0.000000000000000000000000000000000000000000000000000141830492227989	-3.15847512812441	0.019	0.107	0.00000000000000000000000000000000000000000000000345229601132148
NOP53	0.000000000000000000000000000000000000000000000000000161073958546871	0.0504285150435593	0.525	0.634	0.0000000000000000000000000000000000000000000000039207012249894
KRT10	0.000000000000000000000000000000000000000000000000000233841706053414	-0.656067723179627	0.352	0.532	0.00000000000000000000000000000000000000000000000569194096704616
NCDN	0.000000000000000000000000000000000000000000000000000273002061041051	-2.1577056711035	0.03	0.133	0.00000000000000000000000000000000000000000000000664514316780021
THRA	0.000000000000000000000000000000000000000000000000000394755917841503	2.72340360227497	0.076	0.014	0.00000000000000000000000000000000000000000000000960875379618004
STAMBPL1	0.000000000000000000000000000000000000000000000000000423821763174408	-1.55971235826981	0.062	0.184	0.0000000000000000000000000000000000000000000000103162455374283
GALNT11	0.000000000000000000000000000000000000000000000000000529045475722853	-1.12480431844495	0.117	0.262	0.00000000000000000000000000000000000000000000001287749592457
CCL3	0.000000000000000000000000000000000000000000000000000784577535817429	-0.944120384156722	0.267	0.432	0.000000000000000000000000000000000000000000000019097401799332
MS4A6A	0.000000000000000000000000000000000000000000000000000954412334192688	-5.93559273294309	0.001	0.067	0.0000000000000000000000000000000000000000000000232313506265842
SNX10	0.000000000000000000000000000000000000000000000000000968031678312319	-1.36470662144078	0.08	0.21	0.0000000000000000000000000000000000000000000000235628590818001
FAM174B	0.00000000000000000000000000000000000000000000000000138398336497526	-4.66382340184254	0.003	0.073	0.0000000000000000000000000000000000000000000000336875390868628
NCAM1	0.00000000000000000000000000000000000000000000000000174544380602368	2.41413581139808	0.089	0.02	0.0000000000000000000000000000000000000000000000424858476824224
PATL2	0.000000000000000000000000000000000000000000000000001896353784604	1.19662742405293	0.241	0.13	0.0000000000000000000000000000000000000000000000461591474710459
PHF6	0.00000000000000000000000000000000000000000000000000193008539401139	-1.67018278721019	0.051	0.167	0.0000000000000000000000000000000000000000000000469802085756312
ABHD6	0.00000000000000000000000000000000000000000000000000219283583254928	-2.01341795777997	0.024	0.118	0.000000000000000000000000000000000000000000000053375817000082
PSMD7	0.00000000000000000000000000000000000000000000000000268947820330622	-0.726528144099029	0.269	0.443	0.0000000000000000000000000000000000000000000000654645889466766
DPEP2	0.00000000000000000000000000000000000000000000000000304670663467868	2.52972854787261	0.081	0.016	0.0000000000000000000000000000000000000000000000741598861947138
IKZF4	0.00000000000000000000000000000000000000000000000000318412702334396	-3.59454996444567	0.005	0.076	0.0000000000000000000000000000000000000000000000775048358752153
GLUD1	0.00000000000000000000000000000000000000000000000000333342073732924	-0.834658256729954	0.293	0.463	0.000000000000000000000000000000000000000000000081138794167331
FOSL2	0.00000000000000000000000000000000000000000000000000363906714273755	0.92232955352205	0.36	0.224	0.0000000000000000000000000000000000000000000000885785333213748
RAD51C	0.00000000000000000000000000000000000000000000000000390421353883066	-1.31292853822219	0.07	0.193	0.0000000000000000000000000000000000000000000000950324617486772
MOXD1	0.00000000000000000000000000000000000000000000000000394275730692588	-8.05900604524824	0	0.058	0.0000000000000000000000000000000000000000000000959706556078829
APOBEC3F	0.00000000000000000000000000000000000000000000000000400401740494823	-1.99341726041315	0.035	0.139	0.0000000000000000000000000000000000000000000000974617876538448
CLTA	0.00000000000000000000000000000000000000000000000000402716019580857	-0.633478233729016	0.344	0.523	0.0000000000000000000000000000000000000000000000980251063261763
TANK	0.00000000000000000000000000000000000000000000000000513826371821962	-0.714269981131375	0.361	0.533	0.000000000000000000000000000000000000000000000125070477165184
EIF4E	0.00000000000000000000000000000000000000000000000000638618782379152	-0.898413646359572	0.185	0.346	0.000000000000000000000000000000000000000000000155446197818909
RPS17	0.00000000000000000000000000000000000000000000000000642540348974278	0.516359427486605	0.629	0.543	0.000000000000000000000000000000000000000000000156400746343829
IP6K2	0.00000000000000000000000000000000000000000000000000724001748766863	-0.890255050864305	0.163	0.318	0.000000000000000000000000000000000000000000000176229265667342
SDF2L1	0.00000000000000000000000000000000000000000000000000799925629183695	-0.996198045613897	0.182	0.342	0.000000000000000000000000000000000000000000000194709897399603
CSNK1G3	0.00000000000000000000000000000000000000000000000000838860950602704	-1.21038373112403	0.116	0.26	0.000000000000000000000000000000000000000000000204187143986204
LTA	0.0000000000000000000000000000000000000000000000000106306878448343	-1.22527171864383	0.054	0.16	0.000000000000000000000000000000000000000000000258761572831111
ARRB2	0.0000000000000000000000000000000000000000000000000116186610795874	0.660645037096027	0.406	0.323	0.000000000000000000000000000000000000000000000282809829338236
ELOB	0.0000000000000000000000000000000000000000000000000122597832541012	-0.528545889056213	0.415	0.593	0.000000000000000000000000000000000000000000000298415384188078
AHR	0.0000000000000000000000000000000000000000000000000133850402649093	-1.5524989950085	0.073	0.199	0.000000000000000000000000000000000000000000000325805265088156
EZR	0.0000000000000000000000000000000000000000000000000146588783059916	-0.322104423507281	0.749	0.875	0.000000000000000000000000000000000000000000000356811756846141
GK5	0.0000000000000000000000000000000000000000000000000163589293303083	2.16098749988958	0.102	0.029	0.000000000000000000000000000000000000000000000398192698829034
CTNNA1	0.0000000000000000000000000000000000000000000000000167517203683276	-1.45587402795663	0.067	0.19	0.000000000000000000000000000000000000000000000407753625485462
LSP1	0.0000000000000000000000000000000000000000000000000181616434462685	-0.453733125664172	0.865	0.918	0.000000000000000000000000000000000000000000000442072563125622
ADGRG5	0.0000000000000000000000000000000000000000000000000194859512833782	2.01628654298256	0.111	0.031	0.000000000000000000000000000000000000000000000474307540188708
LAYN	0.0000000000000000000000000000000000000000000000000218823820540815	-5.58692967845261	0.002	0.066	0.000000000000000000000000000000000000000000000532639061578398
TSTD1	0.0000000000000000000000000000000000000000000000000227560195245739	-0.804149317878127	0.25	0.42	0.000000000000000000000000000000000000000000000553904271247654
CPNE7	0.0000000000000000000000000000000000000000000000000253971001809842	-3.35469919396656	0.01	0.088	0.000000000000000000000000000000000000000000000618190815505337
PSMB10	0.0000000000000000000000000000000000000000000000000435449529385843	-0.612814286885109	0.405	0.58	0.00000000000000000000000000000000000000000000105992769947808
COPZ1	0.0000000000000000000000000000000000000000000000000462408138012252	-0.887379167322354	0.223	0.387	0.00000000000000000000000000000000000000000000112554764873562
SQOR	0.000000000000000000000000000000000000000000000000060080980490171	-1.28637656131386	0.087	0.219	0.00000000000000000000000000000000000000000000146243114611125
VANGL1	0.0000000000000000000000000000000000000000000000000606875559840832	-2.36344447139161	0.022	0.114	0.00000000000000000000000000000000000000000000147719580020857
METTL12	0.0000000000000000000000000000000000000000000000000616688029044885	2.20324468117216	0.097	0.025	0.00000000000000000000000000000000000000000000150108033149815
PELI1	0.0000000000000000000000000000000000000000000000000620893228455213	-0.929646657266028	0.218	0.382	0.00000000000000000000000000000000000000000000151131620738283
ATP5MF	0.0000000000000000000000000000000000000000000000000648191889852845	-0.715867383763012	0.265	0.436	0.00000000000000000000000000000000000000000000157776387909081
OST4	0.0000000000000000000000000000000000000000000000000726441858419528	-0.377088014730257	0.778	0.877	0.00000000000000000000000000000000000000000000176823212757897
LINC01678	0.0000000000000000000000000000000000000000000000000763241632687596	-4.45448222209453	0.003	0.07	0.00000000000000000000000000000000000000000000185780645812488
UBASH3B	0.0000000000000000000000000000000000000000000000000809667756530014	-2.03229774213278	0.037	0.14	0.00000000000000000000000000000000000000000000197081228616971
ALDOA	0.0000000000000000000000000000000000000000000000000902485898228721	-0.433201842009664	0.689	0.821	0.00000000000000000000000000000000000000000000219674092487853
TIAM2	0.000000000000000000000000000000000000000000000000105488483732607	-3.70128224801411	0.006	0.079	0.00000000000000000000000000000000000000000000256769518253538
PFDN2	0.00000000000000000000000000000000000000000000000010580129636577	-0.656412454164698	0.263	0.432	0.00000000000000000000000000000000000000000000257530935483921
LINC00944	0.000000000000000000000000000000000000000000000000113562598396549	1.16435038872838	0.24	0.13	0.00000000000000000000000000000000000000000000276422720757041
GRK5	0.000000000000000000000000000000000000000000000000123838860599786	-1.63086595068681	0.052	0.166	0.00000000000000000000000000000000000000000000301436170585939
ZNF260	0.000000000000000000000000000000000000000000000000127450789982964	-1.71121929003322	0.043	0.151	0.00000000000000000000000000000000000000000000310227967897532
VIM	0.000000000000000000000000000000000000000000000000142851710793111	0.459603277324968	0.902	0.885	0.00000000000000000000000000000000000000000000347715349241512
UBE2B	0.000000000000000000000000000000000000000000000000155706491535433	-0.484167644714784	0.582	0.738	0.00000000000000000000000000000000000000000000379005171046396
NBDY	0.000000000000000000000000000000000000000000000000161646827349168	-0.872058907329244	0.149	0.295	0.00000000000000000000000000000000000000000000393464542450609
LCMT2	0.000000000000000000000000000000000000000000000000168288251261668	1.27940178066295	0.22	0.119	0.00000000000000000000000000000000000000000000409630432396026
CXCL3	0.000000000000000000000000000000000000000000000000187928418624766	-7.85416158621808	0	0.06	0.00000000000000000000000000000000000000000000457436563774543
CHPT1	0.000000000000000000000000000000000000000000000000227076535456277	-2.07246714187723	0.026	0.12	0.00000000000000000000000000000000000000000000552726994954125
ANXA2	0.000000000000000000000000000000000000000000000000274493328882547	0.881172919086413	0.351	0.228	0.00000000000000000000000000000000000000000000668144211833009
TRAV12-1	0.000000000000000000000000000000000000000000000000280029252909723	2.85523314527421	0.051	0.005	0.00000000000000000000000000000000000000000000681619204507556
TP53BP1	0.000000000000000000000000000000000000000000000000292102215679797	-1.54071503731713	0.048	0.157	0.00000000000000000000000000000000000000000000711006003186194
ATP5PF	0.00000000000000000000000000000000000000000000000034895917285122	-0.767708041776363	0.261	0.43	0.00000000000000000000000000000000000000000000849401522637156
ARHGDIB	0.000000000000000000000000000000000000000000000000476336397454378	0.322866360970476	0.936	0.909	0.000000000000000000000000000000000000000000011594504250437
SIVA1	0.000000000000000000000000000000000000000000000000486859025937958	-0.772321198546196	0.27	0.439	0.0000000000000000000000000000000000000000000118506355503558
ACSF3	0.000000000000000000000000000000000000000000000000617599527776667	-1.35816285007728	0.077	0.201	0.0000000000000000000000000000000000000000000150329901056119
PRKAG2	0.000000000000000000000000000000000000000000000000621793940224505	-1.29366851049777	0.078	0.203	0.0000000000000000000000000000000000000000000151350862990047
RIC8A	0.000000000000000000000000000000000000000000000000690019768327858	-0.922354147940291	0.231	0.391	0.0000000000000000000000000000000000000000000167957711808684
AC090152.1	0.000000000000000000000000000000000000000000000000717318646454098	-1.69672656980373	0.052	0.165	0.0000000000000000000000000000000000000000000174602531733392
CCDC88C	0.000000000000000000000000000000000000000000000000747541367749175	0.905634217692191	0.319	0.206	0.0000000000000000000000000000000000000000000181959044323827
SASH3	0.000000000000000000000000000000000000000000000000888092917962067	-0.751446948848535	0.292	0.462	0.0000000000000000000000000000000000000000000216170697161147
ATP5ME	0.0000000000000000000000000000000000000000000000010650138969497	-0.540002828072551	0.384	0.559	0.0000000000000000000000000000000000000000000259235032656526
TRBV15	0.00000000000000000000000000000000000000000000000111572825993301	-5.4010325118741	0.004	0.068	0.0000000000000000000000000000000000000000000271579415750295
CENPF	0.00000000000000000000000000000000000000000000000112077693810176	-3.08904096322882	0.009	0.085	0.000000000000000000000000000000000000000000027280831450335
PIK3R1	0.00000000000000000000000000000000000000000000000119721407000528	0.668951665957098	0.528	0.428	0.0000000000000000000000000000000000000000000291413876779985
ELOVL4	0.00000000000000000000000000000000000000000000000130915862968806	-2.37781468787293	0.026	0.12	0.000000000000000000000000000000000000000000031866230205237
DFFA	0.000000000000000000000000000000000000000000000001334872121537	-1.41092938641467	0.059	0.173	0.000000000000000000000000000000000000000000032492122310332
GSTK1	0.00000000000000000000000000000000000000000000000155201351517963	0.483349745441259	0.605	0.532	0.0000000000000000000000000000000000000000000377775609729873
GTF3C1	0.00000000000000000000000000000000000000000000000160272322739552	-0.982149485928466	0.148	0.296	0.0000000000000000000000000000000000000000000390118860780344
MIR4435-2HG	0.00000000000000000000000000000000000000000000000164305195349078	-0.797686363323356	0.192	0.35	0.000000000000000000000000000000000000000000039993527599919
HSP90B1	0.00000000000000000000000000000000000000000000000181843290333704	-0.524691517520778	0.636	0.772	0.000000000000000000000000000000000000000000044262475300127
TCEB1	0.00000000000000000000000000000000000000000000000193098987860567	1.54663474642416	0.159	0.069	0.0000000000000000000000000000000000000000000470022246351406
WBP2	0.00000000000000000000000000000000000000000000000204330746527721	-0.730971614198637	0.289	0.459	0.0000000000000000000000000000000000000000000497361470123125
ATP5F1B	0.00000000000000000000000000000000000000000000000220492608012463	-0.350319571635993	0.433	0.598	0.0000000000000000000000000000000000000000000536701057163135
ARL4A	0.00000000000000000000000000000000000000000000000221993399546377	-0.882965301562789	0.3	0.459	0.0000000000000000000000000000000000000000000540354133835837
WNT10A	0.00000000000000000000000000000000000000000000000266117036459479	-3.22153512066276	0.008	0.081	0.0000000000000000000000000000000000000000000647755478446018
C19orf53	0.00000000000000000000000000000000000000000000000277664851325754	-0.549234709815511	0.467	0.635	0.0000000000000000000000000000000000000000000675864014612018
METTL8	0.00000000000000000000000000000000000000000000000289089274389977	-1.9877850492736	0.03	0.126	0.0000000000000000000000000000000000000000000703672202792642
TRBJ1-6	0.00000000000000000000000000000000000000000000000321056196619947	-3.17606914897864	0.022	0.104	0.0000000000000000000000000000000000000000000781482888192613
RPS25	0.00000000000000000000000000000000000000000000000324081753600411	0.215300570956477	0.995	0.994	0.0000000000000000000000000000000000000000000788847396438761
H2AFJ	0.00000000000000000000000000000000000000000000000324460235648719	1.0465026755465	0.273	0.167	0.0000000000000000000000000000000000000000000789768659592547
AZIN1	0.00000000000000000000000000000000000000000000000403910299176451	-0.643240222400709	0.414	0.58	0.00000000000000000000000000000000000000000009831580592254
WAS	0.00000000000000000000000000000000000000000000000405171876189952	-0.594532857838972	0.383	0.556	0.0000000000000000000000000000000000000000000986228863833963
TCF7	0.00000000000000000000000000000000000000000000000528568617059389	2.9885276105211	0.06	0.008	0.000000000000000000000000000000000000000000128658887078426
KMT2E	0.00000000000000000000000000000000000000000000000565165890452641	-0.480241947354905	0.585	0.738	0.000000000000000000000000000000000000000000137567029395077
PRKCB	0.00000000000000000000000000000000000000000000000585266579229758	1.1813771169877	0.211	0.116	0.000000000000000000000000000000000000000000142459738050315
ITPK1	0.00000000000000000000000000000000000000000000000596086172584815	-1.40542732434676	0.08	0.205	0.00000000000000000000000000000000000000000014509333526887
HNRNPA1P48	0.00000000000000000000000000000000000000000000000618145629325188	-0.664614494042441	0.256	0.421	0.000000000000000000000000000000000000000000150462827634044
CST3	0.00000000000000000000000000000000000000000000000653623065847956	2.40356123280455	0.08	0.017	0.000000000000000000000000000000000000000000159098390458051
SPCS1	0.00000000000000000000000000000000000000000000000697097815074215	-0.565772191091582	0.486	0.648	0.000000000000000000000000000000000000000000169680579167215
TPI1	0.00000000000000000000000000000000000000000000000703511656063217	-0.400688850121302	0.687	0.821	0.000000000000000000000000000000000000000000171241772202348
ILF3	0.00000000000000000000000000000000000000000000000736357256366553	-0.648310024921685	0.287	0.456	0.000000000000000000000000000000000000000000179236719772183
GRAMD4	0.00000000000000000000000000000000000000000000000782693973229004	-1.88578749831705	0.035	0.135	0.000000000000000000000000000000000000000000190515540023672
GCDH	0.00000000000000000000000000000000000000000000000885350013976911	-1.27680798129772	0.085	0.211	0.00000000000000000000000000000000000000000021550304690212
BTNL8	0.0000000000000000000000000000000000000000000000100200362225691	-7.81338175731606	0	0.054	0.000000000000000000000000000000000000000000243897701693555
ARPC5L	0.0000000000000000000000000000000000000000000000106788205555995	-0.562956103267911	0.444	0.613	0.000000000000000000000000000000000000000000259933171143847
IRF2	0.000000000000000000000000000000000000000000000011600184442913	-0.845835530893871	0.247	0.41	0.000000000000000000000000000000000000000000282360089524945
VPS37B	0.0000000000000000000000000000000000000000000000125764283140111	-0.645372752281986	0.489	0.641	0.000000000000000000000000000000000000000000306122841591344
LINC01943	0.000000000000000000000000000000000000000000000016683813705588	-3.05406067842021	0.014	0.094	0.000000000000000000000000000000000000000000406100709407717
GPHN	0.0000000000000000000000000000000000000000000000188554833830133	-1.85502096982134	0.04	0.143	0.000000000000000000000000000000000000000000458961321025926
ANXA7	0.0000000000000000000000000000000000000000000000236084545176939	-0.850564262456029	0.22	0.38	0.000000000000000000000000000000000000000000574653391415188
RNF157	0.0000000000000000000000000000000000000000000000242164932346748	-2.59925404996859	0.014	0.095	0.000000000000000000000000000000000000000000589453661825219
KIAA0232	0.0000000000000000000000000000000000000000000000247081899268635	-1.29379297457555	0.074	0.194	0.000000000000000000000000000000000000000000601422051009784
ROMO1	0.0000000000000000000000000000000000000000000000280389972522282	-0.575442996163948	0.439	0.606	0.000000000000000000000000000000000000000000682497232116487
RAP2B	0.0000000000000000000000000000000000000000000000319048964770519	1.55287013261197	0.152	0.062	0.000000000000000000000000000000000000000000776597085147921
SCLY	0.0000000000000000000000000000000000000000000000367126551319636	-1.99971591346381	0.029	0.123	0.000000000000000000000000000000000000000000893622738567125
AP2B1	0.0000000000000000000000000000000000000000000000374251783691936	-0.678210301647258	0.295	0.463	0.000000000000000000000000000000000000000000910966266684542
ANAPC16	0.0000000000000000000000000000000000000000000000380845250702537	-0.497172621404807	0.565	0.715	0.000000000000000000000000000000000000000000927015424735045
MESD	0.0000000000000000000000000000000000000000000000449428024308334	-1.23151870640967	0.102	0.234	0.00000000000000000000000000000000000000000109395275396891
ARHGAP15	0.0000000000000000000000000000000000000000000000700603272124911	0.843590501346294	0.333	0.224	0.00000000000000000000000000000000000000000170533842467925
RP11-51J9.5	0.000000000000000000000000000000000000000000000107788644648669	2.33752504120887	0.084	0.02	0.00000000000000000000000000000000000000000262368339939326
LRRC61	0.00000000000000000000000000000000000000000000012184086668066	-1.75263831498605	0.038	0.137	0.00000000000000000000000000000000000000000296572853587395
MTX3	0.000000000000000000000000000000000000000000000130551076439526	-2.49351516249975	0.018	0.102	0.0000000000000000000000000000000000000000031777437516145
ACSL1	0.000000000000000000000000000000000000000000000149325171553992	-1.71999467758082	0.037	0.134	0.00000000000000000000000000000000000000000363472400079571
S100A11	0.000000000000000000000000000000000000000000000156445838714376	0.538002195263267	0.589	0.543	0.00000000000000000000000000000000000000000380804816014662
DGKZ	0.000000000000000000000000000000000000000000000178336597575275	-0.762079662492423	0.277	0.441	0.00000000000000000000000000000000000000000434089112157977
PPP1R16B	0.00000000000000000000000000000000000000000000019304667411185	-0.882843372380108	0.199	0.355	0.00000000000000000000000000000000000000000469894909455653
PYCARD	0.000000000000000000000000000000000000000000000193478684277775	-0.773933787379723	0.232	0.393	0.00000000000000000000000000000000000000000470946465400533
PTPRC	0.000000000000000000000000000000000000000000000208033309890923	0.2954478592638	0.919	0.925	0.00000000000000000000000000000000000000000506373879605496
PAM	0.000000000000000000000000000000000000000000000225999420448008	-0.88361240173452	0.14	0.28	0.00000000000000000000000000000000000000000550105189312495
CAPZB	0.000000000000000000000000000000000000000000000253901146224945	-0.42478322231713	0.672	0.802	0.00000000000000000000000000000000000000000618020780026138
PSMC1	0.000000000000000000000000000000000000000000000308604287551673	-0.79553021886852	0.213	0.37	0.00000000000000000000000000000000000000000751173696329526
AL606807.1	0.00000000000000000000000000000000000000000000031639986419396	-4.77056560818236	0.001	0.058	0.00000000000000000000000000000000000000000770148909434518
PJA2	0.000000000000000000000000000000000000000000000322876592135359	-0.982691729418247	0.155	0.301	0.00000000000000000000000000000000000000000785913912916676
EVL	0.000000000000000000000000000000000000000000000353825254016322	-0.424952181751923	0.699	0.819	0.00000000000000000000000000000000000000000861246050801129
PPID	0.000000000000000000000000000000000000000000000375825606258856	-0.810226015402873	0.246	0.407	0.00000000000000000000000000000000000000000914797108194682
RASSF4	0.000000000000000000000000000000000000000000000428475730512811	-1.5306736133714	0.074	0.193	0.0000000000000000000000000000000000000000104295277564123
EIF1B	0.000000000000000000000000000000000000000000000443681598590871	-0.634431297409267	0.326	0.494	0.0000000000000000000000000000000000000000107996537913004
BTN2A2	0.000000000000000000000000000000000000000000000444756966282009	-1.12150065974007	0.105	0.236	0.0000000000000000000000000000000000000000108258293162704
SLC16A11	0.000000000000000000000000000000000000000000000578297709029526	-2.54872707160955	0.014	0.091	0.0000000000000000000000000000000000000000140763445354877
LINC00426	0.000000000000000000000000000000000000000000000714586858584906	-1.58165618544371	0.052	0.16	0.0000000000000000000000000000000000000000173937587248152
SLC1A4	0.000000000000000000000000000000000000000000000718564600414004	-1.58028782584809	0.062	0.175	0.0000000000000000000000000000000000000000174905809386773
ZNF706	0.000000000000000000000000000000000000000000000828553156716524	-0.675640260021852	0.335	0.501	0.0000000000000000000000000000000000000000201678123876369
REC8	0.000000000000000000000000000000000000000000000835682639715557	-1.6880531922509	0.042	0.143	0.0000000000000000000000000000000000000000203413511333164
PPIL4	0.000000000000000000000000000000000000000000000852435294837669	-0.712783452829304	0.243	0.403	0.0000000000000000000000000000000000000000207491275116437
ATP5B	0.000000000000000000000000000000000000000000000856114591593234	1.1486290562162	0.225	0.106	0.0000000000000000000000000000000000000000208386852739709
UTY	0.000000000000000000000000000000000000000000000891014250730975	-1.16667131469656	0.075	0.191	0.0000000000000000000000000000000000000000216881778770427
LGALS3	0.00000000000000000000000000000000000000000000124119047267685	-1.22090526291293	0.087	0.212	0.0000000000000000000000000000000000000000302118172954273
PPP2CA	0.00000000000000000000000000000000000000000000130845600004359	-0.557499569652855	0.377	0.546	0.0000000000000000000000000000000000000000318491274970611
EIF1AY	0.0000000000000000000000000000000000000000000013304651478642	-1.031013905349	0.108	0.238	0.0000000000000000000000000000000000000000323848521641625
NPC1	0.00000000000000000000000000000000000000000000141490491178149	1.31500263233656	0.185	0.091	0.0000000000000000000000000000000000000000344402004576732
RBCK1	0.00000000000000000000000000000000000000000000158874020806181	-0.677900202224992	0.29	0.455	0.0000000000000000000000000000000000000000386715254044325
HIPK2	0.00000000000000000000000000000000000000000000164613690035367	-1.87714366287628	0.042	0.142	0.0000000000000000000000000000000000000000400686182915086
CSK	0.00000000000000000000000000000000000000000000183454838406944	-0.633279149701147	0.336	0.502	0.0000000000000000000000000000000000000000446547422166342
RAD21	0.00000000000000000000000000000000000000000000205372659678035	-0.618919096852266	0.372	0.539	0.0000000000000000000000000000000000000000499897590922305
BCL11B	0.00000000000000000000000000000000000000000000206667268650669	-0.900758372069428	0.161	0.306	0.0000000000000000000000000000000000000000503048798622594
PFDN5	0.00000000000000000000000000000000000000000000259168826422946	0.279276259017494	0.943	0.947	0.0000000000000000000000000000000000000000630842840396093
BUD23	0.00000000000000000000000000000000000000000000297499177427078	-0.896385241762342	0.122	0.251	0.000000000000000000000000000000000000000072414274777525
APBB2	0.00000000000000000000000000000000000000000000306321286950926	-8.41530703882672	0	0.051	0.0000000000000000000000000000000000000000745616644567249
KLC2	0.00000000000000000000000000000000000000000000337172701028056	-1.60137822871113	0.035	0.127	0.0000000000000000000000000000000000000000820712071572392
LINC01934	0.00000000000000000000000000000000000000000000423284323308968	-1.79830860741129	0.044	0.147	0.000000000000000000000000000000000000000103031637136636
YIF1A	0.0000000000000000000000000000000000000000000045272911418524	-1.08373675245795	0.113	0.245	0.000000000000000000000000000000000000000110198793683829
VCP	0.00000000000000000000000000000000000000000000485707512343339	-0.455153743234771	0.585	0.73	0.000000000000000000000000000000000000000118226065579492
CNTRL	0.00000000000000000000000000000000000000000000501638269066539	-0.759955196933248	0.181	0.327	0.000000000000000000000000000000000000000122103771073486
EIF4A3	0.00000000000000000000000000000000000000000000522273856325939	0.553607404911548	0.577	0.519	0.000000000000000000000000000000000000000127126679368297
STIP1	0.00000000000000000000000000000000000000000000554325879354675	-0.423066235876416	0.53	0.691	0.000000000000000000000000000000000000000134928462293722
KMT2E-AS1	0.00000000000000000000000000000000000000000000570117963975677	0.962454028922995	0.25	0.165	0.00000000000000000000000000000000000000013877241361132
TMBIM1	0.000000000000000000000000000000000000000000006366491084788	0.732438606480371	0.31	0.235	0.000000000000000000000000000000000000000154966759494825
CAMTA1	0.00000000000000000000000000000000000000000000716505188301689	-1.03362093842199	0.128	0.265	0.000000000000000000000000000000000000000174404527884514
RAD23B	0.00000000000000000000000000000000000000000000739500707216266	-1.10800012792789	0.125	0.26	0.000000000000000000000000000000000000000180001867143511
CYBC1	0.00000000000000000000000000000000000000000000745046989876983	-0.92053131424055	0.164	0.31	0.000000000000000000000000000000000000000181351887805956
CXCR4	0.00000000000000000000000000000000000000000000775590274525672	-0.489289608681811	0.909	0.938	0.000000000000000000000000000000000000000188786428722294
PSMA7	0.00000000000000000000000000000000000000000000818170441711866	-0.426875037538951	0.595	0.744	0.000000000000000000000000000000000000000199150867217085
DRAM1	0.00000000000000000000000000000000000000000000829934669707445	-1.70154230429345	0.04	0.138	0.000000000000000000000000000000000000000202014397953489
CXCR6	0.00000000000000000000000000000000000000000000861172756592514	-1.84870583079504	0.051	0.154	0.000000000000000000000000000000000000000209618060682184
AGTPBP1	0.00000000000000000000000000000000000000000000937697614600286	1.47469136500595	0.149	0.065	0.000000000000000000000000000000000000000228244976369856
PRELID1	0.00000000000000000000000000000000000000000000959878602177445	-0.502453751517166	0.34	0.504	0.000000000000000000000000000000000000000233644050556012
FAM53B	0.0000000000000000000000000000000000000000000106827960156109	-1.20965566686322	0.091	0.215	0.000000000000000000000000000000000000000260029937815984
ECHS1	0.0000000000000000000000000000000000000000000109938677216942	-1.05266168359257	0.107	0.235	0.000000000000000000000000000000000000000267601734213757
FAM107B	0.0000000000000000000000000000000000000000000119051406951454	0.710194831846958	0.428	0.316	0.000000000000000000000000000000000000000289783029660534
WDR1	0.0000000000000000000000000000000000000000000172335129538032	-0.468717703393731	0.492	0.655	0.000000000000000000000000000000000000000419480938808524
CCDC112	0.0000000000000000000000000000000000000000000197404003292669	2.97012810091061	0.057	0.009	0.000000000000000000000000000000000000000480501084414686
PSMF1	0.0000000000000000000000000000000000000000000209626614715632	-0.772237899282605	0.262	0.421	0.000000000000000000000000000000000000000510252142879321
NAF1	0.0000000000000000000000000000000000000000000222200697379958	-1.14926167520482	0.115	0.247	0.000000000000000000000000000000000000000540858717492557
JAK3	0.0000000000000000000000000000000000000000000240689947573518	-0.960180319556729	0.125	0.258	0.000000000000000000000000000000000000000585863401388699
FAM45A	0.0000000000000000000000000000000000000000000290923991886314	-0.975873388723571	0.142	0.281	0.000000000000000000000000000000000000000708138088650477
SNHG25	0.000000000000000000000000000000000000000000029755909430577	0.802073777908317	0.352	0.247	0.000000000000000000000000000000000000000724288591449674
